,ID,title,description,Verified,subcount,viewcount,channel_name,date_uploaded,likes,dislikes,upvotes,rank,timestamp
0,8ds6SnOG,Minecraft Speedrunner VS 4 Hunters GRAND FINALE,"Minecraft Speedrunner VS 4 Hunters GRAND FINALE. You asked for it. This was absolutely insane. ► Download Monster Legends from this link to play for FREE! Get your Dream Monster and feed him to Level 10 to enter the $5,000 USD GIVEAWAY! ",True,17200000.0,8549869.0,Dream,Premiered 16 hours ago,1180119,8330,0,1,Sat Feb  6 13:24:29 2021 to Sat Feb  6 14:01:12 2021
1,lgGmYeAm0jk,Best of the Handforth Parish Council Planning & Environment Committee Thursday 10th December 2020,The best bits of the extraordinary meeting of the Handforth Parish Council Planning and Environment Committee held on Thursday 10th December 2020 at ,False,1810.0,2514576.0,Steven Morgan,4 Feb 2021,0,0,0,2,Sat Feb  6 13:24:29 2021 to Sat Feb  6 14:01:12 2021
2,VpQo2rZLT5E,Girl Gamer Gets Bullied By Kid At School ft SSSniperWolf,Girl Gamer Gets Bullied By Kid At School ft SSSniperWolf! Leave a Like if you enjoyed! Watch the last collab ,True,25200000.0,3765187.0,SSSniperWolf,5 Feb 2021,242814,2374,0,3,Sat Feb  6 13:24:29 2021 to Sat Feb  6 14:01:12 2021
3,IP3ydBrdkFA,Dream - Minecraft Manhunt Extra Scenes (GRAND FINALE),"This is extra scenes from Dream's channel of the ""Minecraft Speedrunner VS 4 Hunters GRAND FINALE"" video. We react to what happened during the video and talk about it.

Minecraft Manhunt Channel: ",False,3070000.0,1504428.0,DreamXD,5 Feb 2021,204187,546,0,4,Sat Feb  6 13:24:29 2021 to Sat Feb  6 14:01:12 2021
4,ZquDW-b1A7g,Digga D x AJ Tracey - Bringing It Back,Digga D x AJ Tracey - Bringing It Back,True,145000.0,1275979.0,Digga D TV,Premiered on 4 Feb 2021,84756,390,0,5,Sat Feb  6 13:24:29 2021 to Sat Feb  6 14:01:12 2021
5,Rdzw5cyiM,'Read them and understand them!' Handforth Parish Council meeting goes viral after massive Zoom row,'Read them and understand them!' Handforth Parish Council meeting goes viral after massive Zoom row,True,1730000.0,588805.0,The Telegraph,5 Feb 2021,5695,182,0,6,Sat Feb  6 13:24:29 2021 to Sat Feb  6 14:01:12 2021
6,QkGWkUz3,Full HOUSE TOUR!!,"Full HOUSE TOUR!!
Listen to my podcast here!! ",True,2500000.0,433706.0,Saffron Barker,5 Feb 2021,20017,318,0,7,Sat Feb  6 13:24:29 2021 to Sat Feb  6 14:01:12 2021
7,3mkUzcYIMz4,Did council official Jackie Weaver actually have the authority?,"Never mind Bridgerton, have you seen the latest episode of Handforth Parish Council planning and environment committee, extraordinary meeting, December 10? (Subscribe: ",True,1570000.0,63784.0,Channel 4 News,5 Feb 2021,0,613,0,8,Sat Feb  6 13:24:29 2021 to Sat Feb  6 14:01:12 2021
8,rCiBgLOcuKU,Cardi B - Up [Official Music Video],"Cardi B - Up
Stream/Download: ",True,16100000.000000002,12031408.0,Cardi B,Premiered on 5 Feb 2021,835569,36628,0,9,Sat Feb  6 13:24:29 2021 to Sat Feb  6 14:01:12 2021
9,UVugj6L5kN4,Weekend heavy snow 05/02/21,Weekend heavy snow 05/02/21,False,111000.0,310778.0,Met Office - Weather,5 Feb 2021,937,32,0,10,Sat Feb  6 13:24:29 2021 to Sat Feb  6 14:01:12 2021
10,AMP5yJgED3,WANDAVISION Episode 5 Breakdown & Ending Explained Spoiler Review | Marvel Easter Eggs & Theories,"WANDAVISION Episode 5 Breakdown & Ending Explained Spoiler Review | Marvel Easter Eggs & Theories. We review, recap and explain the fifth episode of Wandavision on Disney Plus. This contains easter eggs, theories, spoilers and a breakdown of the events and behind the scenes leaks on the Marvel property. We also discuss where the Evan Peter's Quicksilver role could be going so make sure you stay until the end.",True,467000.0,655514.0,Heavy Spoilers,5 Feb 2021,21068,417,0,11,Sat Feb  6 13:24:29 2021 to Sat Feb  6 14:01:12 2021
11,jEkJYPZmdG,Bridgerton's Regé-Jean Page Forgot To Warn His Family On His NSFW Moments | The Graham Norton,Regé-Jean Page forgot to let all of his family know about some scenes from Bridgerton.,True,3620000.0,227981.0,The Graham Norton Show,5 Feb 2021,5905,48,0,12,Sat Feb  6 13:24:29 2021 to Sat Feb  6 14:01:12 2021
