,ID,title,description,Verified,subcount,viewcount,channel_name,date_uploaded,likes,dislikes,upvotes,rank,timestamp
0,MOUnnagwXSE,Barcelona v Paris Saint-Germain (1-4) | Mbappé bags Nou Camp hat-trick | Champions League Highlights,"Kylian Mbappé scored a stunning hat-trick on his first-ever visit to the Nou Camp, as PSG hammered Barcelona in their round of 16 first leg clash.

Hit 'Subscribe' above to ensure you never miss a video from the BT Sport YouTube channel.

Get a BT Sport Monthly Pass now! - ",True,3320000.0,1398687.0,BT Sport,16 Feb 2021,31355,397,0,1,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
1,TOSGCehV9kk,Leipzig v Liverpool (0-2) | Salah and Mané give Reds timely win! | Champions League Highlights,"Second-half strikes from Mohamed Salah and Sadio Mané secured Liverpool a crucial two-goal victory over Leipzig, in their round of 16 first leg clash in Budapest.

Hit 'Subscribe' above to ensure you never miss a video from the BT Sport YouTube channel.

Click here to purchase a BT Sport Monthly Pass - ",True,3320000.0,956445.0,BT Sport,16 Feb 2021,14642,353,0,2,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
2,gmRKv7n2If8,Disney's Cruella | Official Trailer,"Brilliant. Bad. A little bit mad. May 2021.

Academy Award® winner Emma Stone (“La La Land”) stars in Disney’s “Cruella,” an all-new live-action feature film about the rebellious early days of one of cinemas most notorious – and notoriously fashionable – villains, the legendary Cruella de Vil. “Cruella,” which is set in 1970s London amidst the punk rock revolution, follows a young grifter named Estella, a clever and creative girl determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute, played by two-time Oscar® winner Emma Thompson (“Howards End,” “Sense & Sensibility”). But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.
 
Disney’s “Cruella” is directed by Craig Gillespie (“I Tonya”) from a screenplay by Dana Fox and Tony McNamara, story by Aline Brosh McKenna and Kelly Marcel & Steve Zissis. It was produced by Andrew Gunn (“Freaky Friday”), Marc Platt (“Mary Poppins Returns”) and Kristin Burr (“Christopher Robin”), with Emma Stone, Michelle Wright, Jared LeBoff and Glenn Close serving as executive producers. Two-time Oscar®- winning costume designer Jenny Beavan (“Mad Max: Fury Road,” “A Room with a View”) creates the dazzling and imaginative costumes, which take on a life of their own.

For more information on “Cruella,” follow us on:

Facebook: ",True,3820000.0,1695370.0,Walt Disney Studios,Premiered 6 hours ago,42860,1779,0,3,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
3,XH6NvR8Fx_I,A DAY WITH ME IN LOCKDOWN | VLOG | MOLLYMAE,"HEY GUYS.....
I hope you enjoyed this VLOG, apologies for the lack of videos recently x

Molly-Mae x

SHOP REFY- ",False,1450000.0,481217.0,MollyMae,16 Feb 2021,27682,269,0,4,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
4,FJTxFZARrO0,IT’S OVER! - No more Nike sponsorship,"Thanks to Nike for all the support over the last 4 years
My second channel: ",True,1460000.0,450466.0,Rick Shiels Golf,16 Feb 2021,12979,325,0,5,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
5,JzOrZVpuJH8,Season Two Cinematic Trailer | Call of Duty®: Black Ops Cold War & Warzone™,Season Two Cinematic Trailer | Call of Duty®: Black Ops Cold War & Warzone™,True,6820000.0,1074125.0,Call of Duty,16 Feb 2021,0,49403,12361.0,6,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
6,Wdnp89_GIxI,"Food Shop Haul, Meetings & Get Ready With Me!",Thank you to Stereo for partnering with me. Download Stereo and join me for my next show: ,True,572000.0,186916.0,Anastasia’s Vlogs,16 Feb 2021,12260,123,0,7,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
7,xwdhHTtc-3,1 vs 10 Hunters in GTA!,"We played GTA V and did a Dream-style manhunt against 10 other players! This video is not only intense but also hilarious from beginning to end, so stick around for the whole thing!

SUBSCRIBE OR YOU'LL HAVE BAD LUCK

New Merch - shopmrbeast.com
Join our discord server for your chance to compete in future Minecraft challenges!",True,14700000.0,6733057.0,MrBeast Gaming,16 Feb 2021,388439,5185,0,8,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
8,nCT3fgkBk,BAKING VALENTINES PANCAKES with BEHZINGA! 😘,"It's Pancake Day! So Ethan and I are back for the 3rd installment of our baking videos! :) 

Thank you Dr Jart+ for sponsoring, scan the QR code to try the portal out for yourself!

Ethan's channel: ",True,182000.0,299391.0,Elz the Witch,16 Feb 2021,34303,78,0,9,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
9,Qh9KBwqGxTI,The Cost of Concordia,Go to ,True,2820000.0,1278651.0,Internet Historian,17 Feb 2021,200893,673,0,10,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
